,0,1,2,3,4,5,6,7,output
12264,great_pret,very_crit,complete,more,convenient,0,problematic,recommended,0
6003,pretentious,less_proper,foster,more,convenient,1,nonprob,recommended,0
10828,great_pret,improper,incomplete,1,less_conv,1,nonprob,priority,0
7473,pretentious,critical,incomplete,3,less_conv,0,slightly_prob,recommended,0
8584,pretentious,very_crit,foster,3,critical,1,problematic,priority,0
1491,usual,less_proper,incomplete,more,less_conv,1,problematic,recommended,0
2056,usual,improper,completed,3,convenient,0,slightly_prob,priority,0
8337,pretentious,very_crit,incomplete,3,less_conv,0,slightly_prob,recommended,0
4650,pretentious,proper,completed,3,convenient,0,problematic,recommended,0
12439,great_pret,very_crit,completed,3,less_conv,0,nonprob,priority,0
10573,great_pret,improper,complete,more,critical,0,problematic,priority,0
9874,great_pret,less_proper,completed,3,critical,1,nonprob,priority,0
6370,pretentious,improper,completed,2,critical,1,problematic,priority,0
11442,great_pret,critical,complete,more,critical,1,slightly_prob,recommended,0
12868,great_pret,very_crit,foster,3,convenient,1,problematic,priority,0
1086,usual,less_proper,completed,1,convenient,0,problematic,recommended,0
10332,great_pret,less_proper,foster,more,less_conv,0,nonprob,recommended,0
12949,great_pret,very_crit,foster,more,critical,0,problematic,priority,0
10233,great_pret,less_proper,foster,2,less_conv,1,nonprob,recommended,0
11859,great_pret,critical,incomplete,more,less_conv,1,problematic,recommended,0
12513,great_pret,very_crit,completed,more,critical,0,slightly_prob,recommended,0
4552,pretentious,proper,completed,1,convenient,1,problematic,priority,0
7645,pretentious,critical,foster,2,less_conv,1,slightly_prob,priority,0
12061,great_pret,critical,foster,more,less_conv,0,nonprob,priority,0
2464,usual,improper,foster,2,less_conv,1,problematic,priority,0
12687,great_pret,very_crit,incomplete,3,critical,1,problematic,recommended,0
12585,great_pret,very_crit,incomplete,2,convenient,0,slightly_prob,recommended,0
1849,usual,improper,complete,3,convenient,1,slightly_prob,priority,0
7387,pretentious,critical,incomplete,1,critical,0,problematic,priority,0
8632,pretentious,very_crit,foster,more,critical,1,nonprob,priority,0
1420,usual,less_proper,incomplete,3,convenient,1,problematic,priority,0
11743,great_pret,critical,incomplete,2,less_conv,0,problematic,priority,0
3432,usual,critical,foster,more,less_conv,1,slightly_prob,recommended,0
2028,usual,improper,completed,2,less_conv,1,slightly_prob,recommended,0
10572,great_pret,improper,complete,more,critical,0,problematic,recommended,0
6862,pretentious,improper,foster,more,convenient,0,slightly_prob,priority,0
4167,usual,very_crit,foster,2,convenient,1,nonprob,recommended,0
2031,usual,improper,completed,2,less_conv,1,problematic,recommended,0
7336,pretentious,critical,completed,more,critical,1,nonprob,priority,0
11155,great_pret,improper,foster,3,less_conv,1,slightly_prob,priority,0
7236,pretentious,critical,completed,3,convenient,0,nonprob,recommended,0
627,usual,proper,incomplete,more,less_conv,1,problematic,recommended,0
2164,usual,improper,incomplete,1,convenient,0,slightly_prob,priority,0
4302,usual,very_crit,foster,more,critical,0,nonprob,recommended,0
1494,usual,less_proper,incomplete,more,critical,0,nonprob,recommended,0
1222,usual,less_proper,completed,3,less_conv,1,problematic,priority,0
2220,usual,improper,incomplete,2,convenient,0,problematic,recommended,0
1818,usual,improper,complete,2,critical,0,nonprob,recommended,0
9964,great_pret,less_proper,incomplete,1,less_conv,1,nonprob,priority,0
5035,pretentious,proper,foster,2,convenient,1,slightly_prob,priority,0
4998,pretentious,proper,foster,1,less_conv,1,slightly_prob,recommended,0
1612,usual,less_proper,foster,2,critical,1,nonprob,priority,0
7204,pretentious,critical,completed,2,less_conv,0,slightly_prob,priority,0
