,0,1,2,3,output
79,1,1,2,1,0
83,1,2,1,3,0
28,1,1,3,2,0
110,1,2,1,1,0
39,3,4,3,2,0
73,3,1,3,2,0
18,3,3,2,1,0
126,3,4,1,3,0
4,1,1,3,4,0
23,3,2,1,3,0
62,1,1,2,4,0
11,2,2,3,4,0
109,2,2,1,1,0
9,3,2,1,1,0
58,2,2,1,3,0
119,3,3,4,2,0
97,1,1,2,1,0
75,1,4,2,1,0
128,2,1,2,1,0
21,3,2,1,3,0
44,3,1,2,1,0
65,2,3,2,1,0
43,3,2,1,1,0
77,3,4,1,2,0
34,2,4,3,1,0
70,3,1,4,2,0
127,1,1,4,3,0
96,3,2,1,1,0
15,1,1,3,3,0
53,3,1,2,1,0
125,2,1,1,2,0
98,3,1,4,4,0
107,2,2,1,4,0
114,3,1,1,2,0
60,1,2,4,2,0
47,1,1,1,2,0
2,3,1,4,1,0
82,1,1,3,2,0
30,1,4,1,1,0
3,2,4,2,2,0
33,1,1,1,2,0
124,2,3,1,3,0
123,3,2,2,4,0
29,3,2,1,1,0
101,2,1,3,1,0
116,2,3,4,1,0
19,3,1,3,2,0
80,2,2,4,3,0
32,1,2,1,3,1
42,3,2,1,3,1
69,1,1,2,2,1
111,2,2,3,2,1
67,1,1,2,2,1
36,1,1,2,2,1
1,2,1,3,2,1
117,1,2,3,3,1
71,2,1,3,2,1
90,2,2,2,1,1
20,1,2,2,1,1
81,3,1,2,2,1
93,2,2,1,2,1
5,1,1,3,2,1
56,2,2,2,1,1
6,3,1,3,2,1
99,3,3,2,1,1
91,2,3,2,3,1
61,2,2,1,2,1
102,1,2,1,2,1
35,3,1,2,2,1
59,2,1,2,2,1
48,1,2,2,3,1
130,1,2,2,1,1
52,3,2,1,2,1
26,3,2,1,3,1
105,1,2,2,1,1
40,2,2,2,1,1
72,1,1,3,2,1
95,3,2,2,1,1
