,0_1,0_2,0_3,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4,3_1,3_2,3_3,3_4,output
110,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
101,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
114,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
24,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
54,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
76,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
106,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
100,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
118,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
37,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
66,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
86,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
123,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
75,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
115,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
