0,1,2,3,4,5
A0,B0,C0,D0,E0,18
A0,B0,C0,D0,E1,23
A0,B0,C0,D0,E2,15
A0,B0,C0,D0,E3,24
A0,B0,C0,D0,E4,23
A0,B0,C0,D1,E0,24
A0,B0,C0,D1,E1,29
A0,B0,C0,D1,E2,21
A0,B0,C0,D1,E3,30
A0,B0,C0,D1,E4,29
A0,B0,C0,D2,E0,14
A0,B0,C0,D2,E1,19
A0,B0,C0,D2,E2,11
A0,B0,C0,D2,E3,20
A0,B0,C0,D2,E4,19
A0,B0,C0,D3,E0,22
A0,B0,C0,D3,E1,27
A0,B0,C0,D3,E2,19
A0,B0,C0,D3,E3,28
A0,B0,C0,D3,E4,27
A0,B0,C0,D4,E0,24
A0,B0,C0,D4,E1,29
A0,B0,C0,D4,E2,21
A0,B0,C0,D4,E3,30
A0,B0,C0,D4,E4,29
A0,B0,C1,D0,E0,19
A0,B0,C1,D0,E1,24
A0,B0,C1,D0,E2,16
A0,B0,C1,D0,E3,25
A0,B0,C1,D0,E4,24
A0,B0,C1,D1,E0,25
A0,B0,C1,D1,E1,30
A0,B0,C1,D1,E2,22
A0,B0,C1,D1,E3,31
A0,B0,C1,D1,E4,30
A0,B0,C1,D2,E0,15
A0,B0,C1,D2,E1,20
A0,B0,C1,D2,E2,12
A0,B0,C1,D2,E3,21
A0,B0,C1,D2,E4,20
A0,B0,C1,D3,E0,23
A0,B0,C1,D3,E1,28
A0,B0,C1,D3,E2,20
A0,B0,C1,D3,E3,29
A0,B0,C1,D3,E4,28
A0,B0,C1,D4,E0,25
A0,B0,C1,D4,E1,30
A0,B0,C1,D4,E2,22
A0,B0,C1,D4,E3,31
A0,B0,C1,D4,E4,30
A0,B0,C2,D0,E0,24
A0,B0,C2,D0,E1,29
A0,B0,C2,D0,E2,21
A0,B0,C2,D0,E3,30
A0,B0,C2,D0,E4,29
A0,B0,C2,D1,E0,30
A0,B0,C2,D1,E1,35
A0,B0,C2,D1,E2,27
A0,B0,C2,D1,E3,36
A0,B0,C2,D1,E4,35
A0,B0,C2,D2,E0,20
A0,B0,C2,D2,E1,25
A0,B0,C2,D2,E2,17
A0,B0,C2,D2,E3,26
A0,B0,C2,D2,E4,25
A0,B0,C2,D3,E0,28
A0,B0,C2,D3,E1,33
A0,B0,C2,D3,E2,25
A0,B0,C2,D3,E3,34
A0,B0,C2,D3,E4,33
A0,B0,C2,D4,E0,30
A0,B0,C2,D4,E1,35
A0,B0,C2,D4,E2,27
A0,B0,C2,D4,E3,36
A0,B0,C2,D4,E4,35
A0,B0,C3,D0,E0,21
A0,B0,C3,D0,E1,26
A0,B0,C3,D0,E2,18
A0,B0,C3,D0,E3,27
A0,B0,C3,D0,E4,26
A0,B0,C3,D1,E0,27
A0,B0,C3,D1,E1,32
A0,B0,C3,D1,E2,24
A0,B0,C3,D1,E3,33
A0,B0,C3,D1,E4,32
A0,B0,C3,D2,E0,17
A0,B0,C3,D2,E1,22
A0,B0,C3,D2,E2,14
A0,B0,C3,D2,E3,23
A0,B0,C3,D2,E4,22
A0,B0,C3,D3,E0,25
A0,B0,C3,D3,E1,30
A0,B0,C3,D3,E2,22
A0,B0,C3,D3,E3,31
A0,B0,C3,D3,E4,30
A0,B0,C3,D4,E0,27
A0,B0,C3,D4,E1,32
A0,B0,C3,D4,E2,24
A0,B0,C3,D4,E3,33
A0,B0,C3,D4,E4,32
A0,B0,C4,D0,E0,21
A0,B0,C4,D0,E1,26
A0,B0,C4,D0,E2,18
A0,B0,C4,D0,E3,27
A0,B0,C4,D0,E4,26
A0,B0,C4,D1,E0,27
A0,B0,C4,D1,E1,32
A0,B0,C4,D1,E2,24
A0,B0,C4,D1,E3,33
A0,B0,C4,D1,E4,32
A0,B0,C4,D2,E0,17
A0,B0,C4,D2,E1,22
A0,B0,C4,D2,E2,14
A0,B0,C4,D2,E3,23
A0,B0,C4,D2,E4,22
A0,B0,C4,D3,E0,25
A0,B0,C4,D3,E1,30
A0,B0,C4,D3,E2,22
A0,B0,C4,D3,E3,31
A0,B0,C4,D3,E4,30
A0,B0,C4,D4,E0,27
A0,B0,C4,D4,E1,32
A0,B0,C4,D4,E2,24
A0,B0,C4,D4,E3,33
A0,B0,C4,D4,E4,32
A0,B1,C0,D0,E0,19
A0,B1,C0,D0,E1,24
A0,B1,C0,D0,E2,16
A0,B1,C0,D0,E3,25
A0,B1,C0,D0,E4,24
A0,B1,C0,D1,E0,25
A0,B1,C0,D1,E1,30
A0,B1,C0,D1,E2,22
A0,B1,C0,D1,E3,31
A0,B1,C0,D1,E4,30
A0,B1,C0,D2,E0,15
A0,B1,C0,D2,E1,20
A0,B1,C0,D2,E2,12
A0,B1,C0,D2,E3,21
A0,B1,C0,D2,E4,20
A0,B1,C0,D3,E0,23
A0,B1,C0,D3,E1,28
A0,B1,C0,D3,E2,20
A0,B1,C0,D3,E3,29
A0,B1,C0,D3,E4,28
A0,B1,C0,D4,E0,25
A0,B1,C0,D4,E1,30
A0,B1,C0,D4,E2,22
A0,B1,C0,D4,E3,31
A0,B1,C0,D4,E4,30
A0,B1,C1,D0,E0,20
A0,B1,C1,D0,E1,25
A0,B1,C1,D0,E2,17
A0,B1,C1,D0,E3,26
A0,B1,C1,D0,E4,25
A0,B1,C1,D1,E0,26
A0,B1,C1,D1,E1,31
A0,B1,C1,D1,E2,23
A0,B1,C1,D1,E3,32
A0,B1,C1,D1,E4,31
A0,B1,C1,D2,E0,16
A0,B1,C1,D2,E1,21
A0,B1,C1,D2,E2,13
A0,B1,C1,D2,E3,22
A0,B1,C1,D2,E4,21
A0,B1,C1,D3,E0,24
A0,B1,C1,D3,E1,29
A0,B1,C1,D3,E2,21
A0,B1,C1,D3,E3,30
A0,B1,C1,D3,E4,29
A0,B1,C1,D4,E0,26
A0,B1,C1,D4,E1,31
A0,B1,C1,D4,E2,23
A0,B1,C1,D4,E3,32
A0,B1,C1,D4,E4,31
A0,B1,C2,D0,E0,25
A0,B1,C2,D0,E1,30
A0,B1,C2,D0,E2,22
A0,B1,C2,D0,E3,31
A0,B1,C2,D0,E4,30
A0,B1,C2,D1,E0,31
A0,B1,C2,D1,E1,36
A0,B1,C2,D1,E2,28
A0,B1,C2,D1,E3,37
A0,B1,C2,D1,E4,36
A0,B1,C2,D2,E0,21
A0,B1,C2,D2,E1,26
A0,B1,C2,D2,E2,18
A0,B1,C2,D2,E3,27
A0,B1,C2,D2,E4,26
A0,B1,C2,D3,E0,29
A0,B1,C2,D3,E1,34
A0,B1,C2,D3,E2,26
A0,B1,C2,D3,E3,35
A0,B1,C2,D3,E4,34
A0,B1,C2,D4,E0,31
A0,B1,C2,D4,E1,36
A0,B1,C2,D4,E2,28
A0,B1,C2,D4,E3,37
A0,B1,C2,D4,E4,36
A0,B1,C3,D0,E0,22
A0,B1,C3,D0,E1,27
A0,B1,C3,D0,E2,19
A0,B1,C3,D0,E3,28
A0,B1,C3,D0,E4,27
A0,B1,C3,D1,E0,28
A0,B1,C3,D1,E1,33
A0,B1,C3,D1,E2,25
A0,B1,C3,D1,E3,34
A0,B1,C3,D1,E4,33
A0,B1,C3,D2,E0,18
A0,B1,C3,D2,E1,23
A0,B1,C3,D2,E2,15
A0,B1,C3,D2,E3,24
A0,B1,C3,D2,E4,23
A0,B1,C3,D3,E0,26
A0,B1,C3,D3,E1,31
A0,B1,C3,D3,E2,23
A0,B1,C3,D3,E3,32
A0,B1,C3,D3,E4,31
A0,B1,C3,D4,E0,28
A0,B1,C3,D4,E1,33
A0,B1,C3,D4,E2,25
A0,B1,C3,D4,E3,34
A0,B1,C3,D4,E4,33
A0,B1,C4,D0,E0,22
A0,B1,C4,D0,E1,27
A0,B1,C4,D0,E2,19
A0,B1,C4,D0,E3,28
A0,B1,C4,D0,E4,27
A0,B1,C4,D1,E0,28
A0,B1,C4,D1,E1,33
A0,B1,C4,D1,E2,25
A0,B1,C4,D1,E3,34
A0,B1,C4,D1,E4,33
A0,B1,C4,D2,E0,18
A0,B1,C4,D2,E1,23
A0,B1,C4,D2,E2,15
A0,B1,C4,D2,E3,24
A0,B1,C4,D2,E4,23
A0,B1,C4,D3,E0,26
A0,B1,C4,D3,E1,31
A0,B1,C4,D3,E2,23
A0,B1,C4,D3,E3,32
A0,B1,C4,D3,E4,31
A0,B1,C4,D4,E0,28
A0,B1,C4,D4,E1,33
A0,B1,C4,D4,E2,25
A0,B1,C4,D4,E3,34
A0,B1,C4,D4,E4,33
A0,B2,C0,D0,E0,26
A0,B2,C0,D0,E1,31
A0,B2,C0,D0,E2,23
A0,B2,C0,D0,E3,32
A0,B2,C0,D0,E4,31
A0,B2,C0,D1,E0,32
A0,B2,C0,D1,E1,37
A0,B2,C0,D1,E2,29
A0,B2,C0,D1,E3,38
A0,B2,C0,D1,E4,37
A0,B2,C0,D2,E0,22
A0,B2,C0,D2,E1,27
A0,B2,C0,D2,E2,19
A0,B2,C0,D2,E3,28
A0,B2,C0,D2,E4,27
A0,B2,C0,D3,E0,30
A0,B2,C0,D3,E1,35
A0,B2,C0,D3,E2,27
A0,B2,C0,D3,E3,36
A0,B2,C0,D3,E4,35
A0,B2,C0,D4,E0,32
A0,B2,C0,D4,E1,37
A0,B2,C0,D4,E2,29
A0,B2,C0,D4,E3,38
A0,B2,C0,D4,E4,37
A0,B2,C1,D0,E0,27
A0,B2,C1,D0,E1,32
A0,B2,C1,D0,E2,24
A0,B2,C1,D0,E3,33
A0,B2,C1,D0,E4,32
A0,B2,C1,D1,E0,33
A0,B2,C1,D1,E1,38
A0,B2,C1,D1,E2,30
A0,B2,C1,D1,E3,39
A0,B2,C1,D1,E4,38
A0,B2,C1,D2,E0,23
A0,B2,C1,D2,E1,28
A0,B2,C1,D2,E2,20
A0,B2,C1,D2,E3,29
A0,B2,C1,D2,E4,28
A0,B2,C1,D3,E0,31
A0,B2,C1,D3,E1,36
A0,B2,C1,D3,E2,28
A0,B2,C1,D3,E3,37
A0,B2,C1,D3,E4,36
A0,B2,C1,D4,E0,33
A0,B2,C1,D4,E1,38
A0,B2,C1,D4,E2,30
A0,B2,C1,D4,E3,39
A0,B2,C1,D4,E4,38
A0,B2,C2,D0,E0,32
A0,B2,C2,D0,E1,37
A0,B2,C2,D0,E2,29
